DateTime,LCLid,stdorToU,KWH/hh (per half hour) 
00:00.0,MAC000003,Std,0.307
30:00.0,MAC000003,Std,0.289
00:00.0,MAC000003,Std,0.239
30:00.0,MAC000003,Std,0.341
00:00.0,MAC000003,Std,0.235
30:00.0,MAC000003,Std,0.188
00:00.0,MAC000003,Std,0.131
30:00.0,MAC000003,Std,0.207
00:00.0,MAC000003,Std,0.284
30:00.0,MAC000003,Std,0.707
00:00.0,MAC000003,Std,0.762
30:00.0,MAC000003,Std,0.283
00:00.0,MAC000003,Std,0.133
30:00.0,MAC000003,Std,0.126
00:00.0,MAC000003,Std,0.077
30:00.0,MAC000003,Std,0.124
00:00.0,MAC000003,Std,0.257
30:00.0,MAC000003,Std,0.253
00:00.0,MAC000003,Std,0.265
30:00.0,MAC000003,Std,0.696
00:00.0,MAC000003,Std,0.194
30:00.0,MAC000003,Std,0.263
00:00.0,MAC000003,Std,0.176
30:00.0,MAC000003,Std,0.195
00:00.0,MAC000003,Std,0.179
30:00.0,MAC000003,Std,0.145
00:00.0,MAC000003,Std,0.174
30:00.0,MAC000003,Std,0.179
00:00.0,MAC000003,Std,0.135
30:00.0,MAC000003,Std,0.148
00:00.0,MAC000003,Std,0.079
30:00.0,MAC000003,Std,0.765
00:00.0,MAC000003,Std,0.814
30:00.0,MAC000003,Std,0.807
00:00.0,MAC000003,Std,0.899
30:00.0,MAC000003,Std,0.935
00:00.0,MAC000003,Std,0.906
30:00.0,MAC000003,Std,0.928
00:00.0,MAC000003,Std,0.883
30:00.0,MAC000003,Std,0.416
00:00.0,MAC000003,Std,0.13
30:00.0,MAC000003,Std,0.115
00:00.0,MAC000003,Std,0.612
30:00.0,MAC000003,Std,0.088
00:00.0,MAC000003,Std,0.373
30:00.0,MAC000003,Std,0.188
00:00.0,MAC000003,Std,0.186
30:00.0,MAC000003,Std,0.341
00:00.0,MAC000003,Std,0.259
30:00.0,MAC000003,Std,0.231
00:00.0,MAC000003,Std,0.254
30:00.0,MAC000003,Std,0.281
00:00.0,MAC000003,Std,0.358
30:00.0,MAC000003,Std,0.327
00:00.0,MAC000003,Std,0.255
30:00.0,MAC000003,Std,0.159
00:00.0,MAC000003,Std,0.121
30:00.0,MAC000003,Std,0.229
00:00.0,MAC000003,Std,0.229
30:00.0,MAC000003,Std,0.176
00:00.0,MAC000003,Std,0.158
30:00.0,MAC000003,Std,0.078
00:00.0,MAC000003,Std,0.096
30:00.0,MAC000003,Std,0.071
00:00.0,MAC000003,Std,0.068
30:00.0,MAC000003,Std,0.143
00:00.0,MAC000003,Std,0.151
30:00.0,MAC000003,Std,0.156
00:00.0,MAC000003,Std,0.29
30:00.0,MAC000003,Std,0.71
00:00.0,MAC000003,Std,0.181
30:00.0,MAC000003,Std,0.554
00:00.0,MAC000003,Std,0.18
30:00.0,MAC000003,Std,0.205
00:00.0,MAC000003,Std,0.137
30:00.0,MAC000003,Std,0.153
00:00.0,MAC000003,Std,0.083
30:00.0,MAC000003,Std,0.059
00:00.0,MAC000003,Std,0.139
30:00.0,MAC000003,Std,0.767
00:00.0,MAC000003,Std,0.744
30:00.0,MAC000003,Std,0.78
00:00.0,MAC000003,Std,0.768
30:00.0,MAC000003,Std,0.842
00:00.0,MAC000003,Std,0.902
30:00.0,MAC000003,Std,0.895
00:00.0,MAC000003,Std,0.912
30:00.0,MAC000003,Std,0.861
00:00.0,MAC000003,Std,0.845
30:00.0,MAC000003,Std,0.869
00:00.0,MAC000003,Std,0.2
30:00.0,MAC000003,Std,0.433
00:00.0,MAC000003,Std,0.384
30:00.0,MAC000003,Std,0.234
00:00.0,MAC000003,Std,0.239
30:00.0,MAC000003,Std,0.282
00:00.0,MAC000003,Std,0.235
30:00.0,MAC000003,Std,0.106
00:00.0,MAC000003,Std,0.075
30:00.0,MAC000003,Std,0.073
00:00.0,MAC000003,Std,0.047
30:00.0,MAC000003,Std,0.125
00:00.0,MAC000003,Std,0.274
30:00.0,MAC000003,Std,0.318
00:00.0,MAC000003,Std,0.206
30:00.0,MAC000003,Std,0.177
00:00.0,MAC000003,Std,0.179
30:00.0,MAC000003,Std,0.221
00:00.0,MAC000003,Std,0.145
30:00.0,MAC000003,Std,0.125
00:00.0,MAC000003,Std,0.151
30:00.0,MAC000003,Std,0.114
00:00.0,MAC000003,Std,0.101
30:00.0,MAC000003,Std,0.125
00:00.0,MAC000003,Std,0.213
30:00.0,MAC000003,Std,0.163
00:00.0,MAC000003,Std,0.148
30:00.0,MAC000003,Std,0.156
00:00.0,MAC000003,Std,0.129
30:00.0,MAC000003,Std,0.146
00:00.0,MAC000003,Std,0.142
30:00.0,MAC000003,Std,0.148
00:00.0,MAC000003,Std,0.164
30:00.0,MAC000003,Std,0.08
00:00.0,MAC000003,Std,0.107
30:00.0,MAC000003,Std,0.145
00:00.0,MAC000003,Std,0.083
30:00.0,MAC000003,Std,0.806
00:00.0,MAC000003,Std,0.81
30:00.0,MAC000003,Std,0.817
00:00.0,MAC000003,Std,0.846
30:00.0,MAC000003,Std,0.834
00:00.0,MAC000003,Std,0.879
30:00.0,MAC000003,Std,0.943
00:00.0,MAC000003,Std,0.917
30:00.0,MAC000003,Std,0.932
00:00.0,MAC000003,Std,0.927
30:00.0,MAC000003,Std,0.875
00:00.0,MAC000003,Std,0.88
30:00.0,MAC000003,Std,0.303
00:00.0,MAC000003,Std,0.585
30:00.0,MAC000003,Std,0.149
00:00.0,MAC000003,Std,0.122
30:00.0,MAC000003,Std,0.202
00:00.0,MAC000003,Std,0.315
30:00.0,MAC000003,Std,0.239
00:00.0,MAC000003,Std,0.284
30:00.0,MAC000003,Std,0.226
00:00.0,MAC000003,Std,0.206
30:00.0,MAC000003,Std,0.162
00:00.0,MAC000003,Std,0.102
30:00.0,MAC000003,Std,0.084
00:00.0,MAC000003,Std,0.156
30:00.0,MAC000003,Std,0.675
00:00.0,MAC000003,Std,0.872
30:00.0,MAC000003,Std,0.247
00:00.0,MAC000003,Std,0.215
30:00.0,MAC000003,Std,0.203
00:00.0,MAC000003,Std,0.084
30:00.0,MAC000003,Std,0.112
00:00.0,MAC000003,Std,0.078
30:00.0,MAC000003,Std,0.162
00:00.0,MAC000003,Std,0.203
30:00.0,MAC000003,Std,0.107
00:00.0,MAC000003,Std,0.1
30:00.0,MAC000003,Std,0.107
00:00.0,MAC000003,Std,0.118
30:00.0,MAC000003,Std,0.202
00:00.0,MAC000003,Std,0.25
30:00.0,MAC000003,Std,0.195
00:00.0,MAC000003,Std,0.201
30:00.0,MAC000003,Std,0.24
00:00.0,MAC000003,Std,0.171
30:00.0,MAC000003,Std,0.147
00:00.0,MAC000003,Std,0.166
30:00.0,MAC000003,Std,1.348
00:00.0,MAC000003,Std,1.35
30:00.0,MAC000003,Std,1.404
00:00.0,MAC000003,Std,1.4
30:00.0,MAC000003,Std,1.421
00:00.0,MAC000003,Std,1.563
30:00.0,MAC000003,Std,1.3049999
00:00.0,MAC000003,Std,0.114
30:00.0,MAC000003,Std,0.113
00:00.0,MAC000003,Std,0.463
30:00.0,MAC000003,Std,0.108
00:00.0,MAC000003,Std,0.122
30:00.0,MAC000003,Std,0.42
00:00.0,MAC000003,Std,0.665
30:00.0,MAC000003,Std,0.234
00:00.0,MAC000003,Std,0.214
30:00.0,MAC000003,Std,0.313
00:00.0,MAC000003,Std,0.194
30:00.0,MAC000003,Std,0.29
00:00.0,MAC000003,Std,0.275
30:00.0,MAC000003,Std,0.271
00:00.0,MAC000003,Std,0.252
30:00.0,MAC000003,Std,0.234
00:00.0,MAC000003,Std,0.208
30:00.0,MAC000003,Std,0.275
00:00.0,MAC000003,Std,0.456
30:00.0,MAC000003,Std,0.198
00:00.0,MAC000003,Std,0.205
30:00.0,MAC000003,Std,0.157
00:00.0,MAC000003,Std,0.174
30:00.0,MAC000003,Std,0.177
00:00.0,MAC000003,Std,0.102
30:00.0,MAC000003,Std,0.126
00:00.0,MAC000003,Std,0.188
30:00.0,MAC000003,Std,0.264
00:00.0,MAC000003,Std,0.315
30:00.0,MAC000003,Std,0.262
00:00.0,MAC000003,Std,0.331
30:00.0,MAC000003,Std,0.233
00:00.0,MAC000003,Std,0.14
30:00.0,MAC000003,Std,0.17
00:00.0,MAC000003,Std,0.169
30:00.0,MAC000003,Std,0.16
00:00.0,MAC000003,Std,0.221
30:00.0,MAC000003,Std,0.199
00:00.0,MAC000003,Std,0.138
30:00.0,MAC000003,Std,0.13
00:00.0,MAC000003,Std,0.078
30:00.0,MAC000003,Std,1.2869999
00:00.0,MAC000003,Std,1.404
30:00.0,MAC000003,Std,0.915
00:00.0,MAC000003,Std,0.151
30:00.0,MAC000003,Std,0.469
00:00.0,MAC000003,Std,0.1
30:00.0,MAC000003,Std,0.11
00:00.0,MAC000003,Std,0.394
30:00.0,MAC000003,Std,0.142
00:00.0,MAC000003,Std,0.172
30:00.0,MAC000003,Std,0.47
00:00.0,MAC000003,Std,0.121
30:00.0,MAC000003,Std,0.151
00:00.0,MAC000003,Std,1.007
30:00.0,MAC000003,Std,0.27
00:00.0,MAC000003,Std,0.32
30:00.0,MAC000003,Std,0.279
00:00.0,MAC000003,Std,0.225
30:00.0,MAC000003,Std,0.255
00:00.0,MAC000003,Std,0.28
30:00.0,MAC000003,Std,0.218
00:00.0,MAC000003,Std,0.257
30:00.0,MAC000003,Std,0.295
00:00.0,MAC000003,Std,0.211
30:00.0,MAC000003,Std,0.222
00:00.0,MAC000003,Std,0.162
30:00.0,MAC000003,Std,0.122
00:00.0,MAC000003,Std,0.141
30:00.0,MAC000003,Std,0.126
00:00.0,MAC000003,Std,0.169
30:00.0,MAC000003,Std,0.148
00:00.0,MAC000003,Std,0.096
30:00.0,MAC000003,Std,0.127
00:00.0,MAC000003,Std,0.14
30:00.0,MAC000003,Std,0.194
00:00.0,MAC000003,Std,0.285
30:00.0,MAC000003,Std,0.188
00:00.0,MAC000003,Std,0.251
30:00.0,MAC000003,Std,0.195
00:00.0,MAC000003,Std,0.668
30:00.0,MAC000003,Std,0.41
00:00.0,MAC000003,Std,0.377
30:00.0,MAC000003,Std,0.445
00:00.0,MAC000003,Std,0.229
30:00.0,MAC000003,Std,0.36
00:00.0,MAC000003,Std,0.159
30:00.0,MAC000003,Std,0.157
00:00.0,MAC000003,Std,0.108
30:00.0,MAC000003,Std,1.375
00:00.0,MAC000003,Std,1.449
30:00.0,MAC000003,Std,1.026
00:00.0,MAC000003,Std,0.128
30:00.0,MAC000003,Std,0.443
00:00.0,MAC000003,Std,0.079
30:00.0,MAC000003,Std,0.416
00:00.0,MAC000003,Std,0.123
30:00.0,MAC000003,Std,0.135
00:00.0,MAC000003,Std,0.438
30:00.0,MAC000003,Std,0.088
00:00.0,MAC000003,Std,0.135
30:00.0,MAC000003,Std,0.476
00:00.0,MAC000003,Std,0.132
30:00.0,MAC000003,Std,0.162
00:00.0,MAC000003,Std,0.112
30:00.0,MAC000003,Std,0.259
00:00.0,MAC000003,Std,0.264
30:00.0,MAC000003,Std,0.258
00:00.0,MAC000003,Std,0.273
30:00.0,MAC000003,Std,0.225
00:00.0,MAC000003,Std,0.259
30:00.0,MAC000003,Std,0.188
00:00.0,MAC000003,Std,0.14
30:00.0,MAC000003,Std,0.133
00:00.0,MAC000003,Std,0.091
30:00.0,MAC000003,Std,0.147
00:00.0,MAC000003,Std,0.174
30:00.0,MAC000003,Std,0.175
00:00.0,MAC000003,Std,0.186
30:00.0,MAC000003,Std,0.144
00:00.0,MAC000003,Std,0.087
30:00.0,MAC000003,Std,0.157
00:00.0,MAC000003,Std,0.136
30:00.0,MAC000003,Std,0.136
00:00.0,MAC000003,Std,0.15
30:00.0,MAC000003,Std,0.108
00:00.0,MAC000003,Std,0.113
30:00.0,MAC000003,Std,0.664
00:00.0,MAC000003,Std,0.557
30:00.0,MAC000003,Std,0.563
00:00.0,MAC000003,Std,0.194
30:00.0,MAC000003,Std,0.383
00:00.0,MAC000003,Std,0.209
30:00.0,MAC000003,Std,0.168
00:00.0,MAC000003,Std,0.183
30:00.0,MAC000003,Std,0.21
00:00.0,MAC000003,Std,0.142
30:00.0,MAC000003,Std,0.091
00:00.0,MAC000003,Std,0.128
30:00.0,MAC000003,Std,0.088
00:00.0,MAC000003,Std,0.108
30:00.0,MAC000003,Std,0.158
00:00.0,MAC000003,Std,0.106
30:00.0,MAC000003,Std,0.092
00:00.0,MAC000003,Std,0.111
30:00.0,MAC000003,Std,0.087
00:00.0,MAC000003,Std,0.154
30:00.0,MAC000003,Std,0.156
00:00.0,MAC000003,Std,0.125
30:00.0,MAC000003,Std,0.149
00:00.0,MAC000003,Std,0.325
30:00.0,MAC000003,Std,0.212
00:00.0,MAC000003,Std,0.269
30:00.0,MAC000003,Std,0.334
00:00.0,MAC000003,Std,0.249
30:00.0,MAC000003,Std,0.251
00:00.0,MAC000003,Std,0.165
30:00.0,MAC000003,Std,0.103
00:00.0,MAC000003,Std,0.12
30:00.0,MAC000003,Std,0.131
00:00.0,MAC000003,Std,0.173
30:00.0,MAC000003,Std,1.119
00:00.0,MAC000003,Std,0.576
30:00.0,MAC000003,Std,0.212
00:00.0,MAC000003,Std,0.179
30:00.0,MAC000003,Std,0.191
00:00.0,MAC000003,Std,0.17
30:00.0,MAC000003,Std,0.127
00:00.0,MAC000003,Std,0.164
30:00.0,MAC000003,Std,0.21
00:00.0,MAC000003,Std,0.117
30:00.0,MAC000003,Std,0.163
00:00.0,MAC000003,Std,0.135
30:00.0,MAC000003,Std,0.075
00:00.0,MAC000003,Std,0.139
30:00.0,MAC000003,Std,0.117
00:00.0,MAC000003,Std,0.552
30:00.0,MAC000003,Std,0.686
00:00.0,MAC000003,Std,0.345
30:00.0,MAC000003,Std,0.623
00:00.0,MAC000003,Std,0.221
30:00.0,MAC000003,Std,0.167
00:00.0,MAC000003,Std,0.108
30:00.0,MAC000003,Std,0.156
00:00.0,MAC000003,Std,0.146
30:00.0,MAC000003,Std,0.098
00:00.0,MAC000003,Std,0.115
30:00.0,MAC000003,Std,0.081
00:00.0,MAC000003,Std,0.089
30:00.0,MAC000003,Std,0.157
00:00.0,MAC000003,Std,0.131
30:00.0,MAC000003,Std,0.158
00:00.0,MAC000003,Std,0.106
30:00.0,MAC000003,Std,0.091
00:00.0,MAC000003,Std,0.131
30:00.0,MAC000003,Std,0.083
00:00.0,MAC000003,Std,0.126
30:00.0,MAC000003,Std,0.148
00:00.0,MAC000003,Std,0.126
30:00.0,MAC000003,Std,0.436
00:00.0,MAC000003,Std,0.23
30:00.0,MAC000003,Std,0.262
00:00.0,MAC000003,Std,0.278
30:00.0,MAC000003,Std,0.247
00:00.0,MAC000003,Std,0.255
30:00.0,MAC000003,Std,0.354
00:00.0,MAC000003,Std,0.313
30:00.0,MAC000003,Std,0.374
00:00.0,MAC000003,Std,0.216
30:00.0,MAC000003,Std,0.456
00:00.0,MAC000003,Std,0.256
30:00.0,MAC000003,Std,0.514
00:00.0,MAC000003,Std,0.603
30:00.0,MAC000003,Std,0.115
00:00.0,MAC000003,Std,0.067
30:00.0,MAC000003,Std,0.111
00:00.0,MAC000003,Std,0.15
30:00.0,MAC000003,Std,0.143
00:00.0,MAC000003,Std,0.146
30:00.0,MAC000003,Std,0.116
00:00.0,MAC000003,Std,0.681
30:00.0,MAC000003,Std,0.133
00:00.0,MAC000003,Std,0.11
30:00.0,MAC000003,Std,0.147
00:00.0,MAC000003,Std,0.373
30:00.0,MAC000003,Std,0.686
00:00.0,MAC000003,Std,0.69
30:00.0,MAC000003,Std,0.479
00:00.0,MAC000003,Std,0.144
30:00.0,MAC000003,Std,0.192
00:00.0,MAC000003,Std,0.147
30:00.0,MAC000003,Std,0.113
00:00.0,MAC000003,Std,0.126
30:00.0,MAC000003,Std,0.104
00:00.0,MAC000003,Std,0.075
30:00.0,MAC000003,Std,0.111
00:00.0,MAC000003,Std,0.131
30:00.0,MAC000003,Std,0.116
00:00.0,MAC000003,Std,0.119
30:00.0,MAC000003,Std,0.139
00:00.0,MAC000003,Std,0.153
30:00.0,MAC000003,Std,0.114
00:00.0,MAC000003,Std,0.151
30:00.0,MAC000003,Std,0.174
00:00.0,MAC000003,Std,0.512
30:00.0,MAC000003,Std,0.262
00:00.0,MAC000003,Std,0.219
30:00.0,MAC000003,Std,0.201
00:00.0,MAC000003,Std,0.28
30:00.0,MAC000003,Std,0.279
00:00.0,MAC000003,Std,0.229
30:00.0,MAC000003,Std,0.135
00:00.0,MAC000003,Std,0.08
30:00.0,MAC000003,Std,0.087
00:00.0,MAC000003,Std,0.092
30:00.0,MAC000003,Std,0.076
00:00.0,MAC000003,Std,0.424
30:00.0,MAC000003,Std,1.131
00:00.0,MAC000003,Std,0.428
30:00.0,MAC000003,Std,0.56
00:00.0,MAC000003,Std,0.363
30:00.0,MAC000003,Std,0.188
00:00.0,MAC000003,Std,0.111
30:00.0,MAC000003,Std,0.086
00:00.0,MAC000003,Std,0.106
30:00.0,MAC000003,Std,0.073
00:00.0,MAC000003,Std,0.359
30:00.0,MAC000003,Std,0.713
00:00.0,MAC000003,Std,0.477
30:00.0,MAC000003,Std,0.224
00:00.0,MAC000003,Std,0.627
30:00.0,MAC000003,Std,0.292
00:00.0,MAC000003,Std,0.134
30:00.0,MAC000003,Std,0.421
00:00.0,MAC000003,Std,0.19
30:00.0,MAC000003,Std,0.138
00:00.0,MAC000003,Std,0.136
30:00.0,MAC000003,Std,0.108
00:00.0,MAC000003,Std,0.125
30:00.0,MAC000003,Std,0.22
00:00.0,MAC000003,Std,0.098
30:00.0,MAC000003,Std,0.178
00:00.0,MAC000003,Std,0.187
30:00.0,MAC000003,Std,0.128
00:00.0,MAC000003,Std,0.052
30:00.0,MAC000003,Std,0.084
00:00.0,MAC000003,Std,0.047
30:00.0,MAC000003,Std,0.061
00:00.0,MAC000003,Std,0.127
30:00.0,MAC000003,Std,0.132
00:00.0,MAC000003,Std,0.098
30:00.0,MAC000003,Std,0.112
00:00.0,MAC000003,Std,0.088
30:00.0,MAC000003,Std,0.099
00:00.0,MAC000003,Std,0.127
30:00.0,MAC000003,Std,1.288
00:00.0,MAC000003,Std,1.658
30:00.0,MAC000003,Std,0.526
00:00.0,MAC000003,Std,0.182
30:00.0,MAC000003,Std,0.229
00:00.0,MAC000003,Std,0.249
30:00.0,MAC000003,Std,0.339
00:00.0,MAC000003,Std,0.73
30:00.0,MAC000003,Std,0.59
00:00.0,MAC000003,Std,0.662
30:00.0,MAC000003,Std,0.401
00:00.0,MAC000003,Std,0.95
30:00.0,MAC000003,Std,0.306
00:00.0,MAC000003,Std,0.306
30:00.0,MAC000003,Std,0.755
00:00.0,MAC000003,Std,0.228
30:00.0,MAC000003,Std,0.16
00:00.0,MAC000003,Std,0.12
30:00.0,MAC000003,Std,0.16
00:00.0,MAC000003,Std,0.157
30:00.0,MAC000003,Std,0.207
00:00.0,MAC000003,Std,0.139
30:00.0,MAC000003,Std,0.135
00:00.0,MAC000003,Std,0.121
30:00.0,MAC000003,Std,0.213
00:00.0,MAC000003,Std,0.847
30:00.0,MAC000003,Std,0.573
00:00.0,MAC000003,Std,0.542
30:00.0,MAC000003,Std,0.316
00:00.0,MAC000003,Std,0.614
30:00.0,MAC000003,Std,0.157
00:00.0,MAC000003,Std,0.146
30:00.0,MAC000003,Std,0.138
00:00.0,MAC000003,Std,0.085
30:00.0,MAC000003,Std,0.09
00:00.0,MAC000003,Std,0.124
30:00.0,MAC000003,Std,0.076
00:00.0,MAC000003,Std,0.139
30:00.0,MAC000003,Std,0.188
00:00.0,MAC000003,Std,0.153
30:00.0,MAC000003,Std,0.101
00:00.0,MAC000003,Std,0.121
30:00.0,MAC000003,Std,0.1
00:00.0,MAC000003,Std,0.088
30:00.0,MAC000003,Std,0.111
00:00.0,MAC000003,Std,0.142
30:00.0,MAC000003,Std,0.115
00:00.0,MAC000003,Std,1.431
30:00.0,MAC000003,Std,0.262
00:00.0,MAC000003,Std,0.217
30:00.0,MAC000003,Std,0.239
00:00.0,MAC000003,Std,0.277
30:00.0,MAC000003,Std,0.235
00:00.0,MAC000003,Std,0.199
30:00.0,MAC000003,Std,0.132
00:00.0,MAC000003,Std,0.103
30:00.0,MAC000003,Std,0.077
00:00.0,MAC000003,Std,0.435
30:00.0,MAC000003,Std,0.187
00:00.0,MAC000003,Std,0.117
30:00.0,MAC000003,Std,0.113
00:00.0,MAC000003,Std,0.098
30:00.0,MAC000003,Std,0.076
00:00.0,MAC000003,Std,0.087
30:00.0,MAC000003,Std,0.151
00:00.0,MAC000003,Std,0.156
30:00.0,MAC000003,Std,0.126
00:00.0,MAC000003,Std,0.225
30:00.0,MAC000003,Std,0.301
00:00.0,MAC000003,Std,0.234
30:00.0,MAC000003,Std,0.519
00:00.0,MAC000003,Std,0.644
30:00.0,MAC000003,Std,0.39
00:00.0,MAC000003,Std,0.218
30:00.0,MAC000003,Std,0.938
00:00.0,MAC000003,Std,0.53
30:00.0,MAC000003,Std,0.629
00:00.0,MAC000003,Std,0.267
30:00.0,MAC000003,Std,0.79
00:00.0,MAC000003,Std,0.406
30:00.0,MAC000003,Std,0.442
00:00.0,MAC000003,Std,0.14
30:00.0,MAC000003,Std,3.2060001
00:00.0,MAC000003,Std,3.309
30:00.0,MAC000003,Std,3.49
00:00.0,MAC000003,Std,3.552
30:00.0,MAC000003,Std,3.4100001
00:00.0,MAC000003,Std,3.6140001
30:00.0,MAC000003,Std,3.704
00:00.0,MAC000003,Std,2.467
30:00.0,MAC000003,Std,2.576
00:00.0,MAC000003,Std,2.566
30:00.0,MAC000003,Std,2.319
00:00.0,MAC000003,Std,2.596
30:00.0,MAC000003,Std,2.3180001
00:00.0,MAC000003,Std,1.809
30:00.0,MAC000003,Std,0.159
00:00.0,MAC000003,Std,0.162
30:00.0,MAC000003,Std,0.246
00:00.0,MAC000003,Std,0.245
30:00.0,MAC000003,Std,0.205
00:00.0,MAC000003,Std,0.284
30:00.0,MAC000003,Std,0.532
00:00.0,MAC000003,Std,0.176
30:00.0,MAC000003,Std,0.149
00:00.0,MAC000003,Std,0.112
30:00.0,MAC000003,Std,0.075
00:00.0,MAC000003,Std,0.11
30:00.0,MAC000003,Std,0.128
00:00.0,MAC000003,Std,0.115
30:00.0,MAC000003,Std,0.132
00:00.0,MAC000003,Std,0.078
30:00.0,MAC000003,Std,0.083
00:00.0,MAC000003,Std,0.142
30:00.0,MAC000003,Std,0.288
00:00.0,MAC000003,Std,0.253
30:00.0,MAC000003,Std,0.407
00:00.0,MAC000003,Std,0.215
30:00.0,MAC000003,Std,0.234
